_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
1402.0,12.0317049084747,0.975,0,4,1.5363749999999998,0.493,0,1,0.249951,6.039613253960852e-17,-1.4157417875032206,7.557714178893226,0.9999996590086442,13.91171465582373,5.358091041522199,58.58759361320335,35.08137713809059,1,160.33411988100656,-0.003956138521617358,-0.0018501436934668103
2172.0,10.792123017877902,1.159,0,4,2.033719,0.468,0,1,0.2489760000000001,2.2737367544323206e-16,-1.304439431492065,4.073182129108319,0.9999998703786754,21.622870892839106,1.62,84.87167029064139,242.0325189135738,2,499.5031347908176,-7.279048195973914e-06,-0.0005821263538574595
2080.0,14.414040301196703,1.247,0,4,2.093991,0.43,0,1,0.24509999999999998,-1.4210854715202004e-16,-1.309092787249654,4.122221931522616,0.999999859415746,20.67027363728923,2.0,79.35349426624006,202.75658281146136,3,374.4628120778644,-1.1314081829194578e-06,-8.62589340000497e-06
2168.0,22.5287077428399,1.288,0,4,2.2310559999999997,0.379,0,1,0.23535900000000004,0.0,-1.7106221497663903,4.336863840167477,0.9999998405772252,21.477241630314445,0.0,75.89820237940425,157.50182368379959,4,307.51872013411014,-4.950629788336158e-07,-1.4506942613845553e-06
2360.0,15.924529082690109,1.347,0,4,2.316591,0.384,0,1,0.23654400000000003,4.263256414560601e-17,-1.3903506008883342,3.977008303418109,0.9999998814943376,23.4566792382558,0.0,90.58389300404816,284.92823197160766,5,446.11729681151354,-1.20788395507887e-07,-2.730823267516058e-07
2610.0,15.100654805639094,1.415,0,4,2.498775,0.361,0,1,0.23067899999999997,1.4210854715202004e-17,-1.0906097230463987,3.96779308759938,0.9999998703677828,25.964094106749254,9.131138780480219,87.18550345330222,238.100040592628,6,426.59462080226626,-8.030000842040863e-08,-1.4475342258180035e-07
2672.0,25.95253844469318,1.49,0,4,2.5599,0.377,0,1,0.23487100000000008,4.9737991503207014e-17,-1.4843202409400253,3.7547386829485894,0.9999998787380598,26.486427153997766,2.0,88.41789011233855,272.0791661102698,7,433.7469307258191,-4.126419916872237e-08,-6.946315256328717e-08
2488.0,18.01732296782324,1.422,0,4,2.441916,0.371,0,1,0.23335899999999996,-1.4210854715202004e-17,-1.3295667180953084,3.8027894237013524,0.9999998829291972,24.717844093289596,2.0,89.68641009970634,291.8942197744925,8,384.8382809973714,-2.7715107986381327e-08,-3.861958974837876e-08
2266.0,34.413109519309955,1.23,0,4,2.2131000000000003,0.415,0,1,0.24277500000000002,-6.394884621840901e-17,-1.4100086155450937,4.134094561137366,0.9999998614052884,22.350282014326215,2.0,82.01037580160254,208.27193663767824,9,247.23169646109037,-3.1978950376654325e-08,-3.959429539790449e-08
2588.0,10.848027656107035,1.502,0,4,2.5539959999999997,0.308,0,1,0.21313599999999996,-2.1316282072803006e-17,-1.6605009012326422,4.136912523409121,0.9999998712018989,25.782367751095045,0.0,90.02324537749263,241.15258481269308,10,316.8808127454457,-2.2416917877521314e-08,-2.6852817525124806e-08
3030.0,29.880731191247175,1.684,0,4,2.7861439999999997,0.289,0,1,0.20547900000000005,-3.552713678800501e-17,-1.8574567349156519,3.5431138820930688,0.999999876285482,30.03107341927878,0.0,87.31177352408386,261.37645228364966,11,397.0553350089004,-1.5889928262069475e-08,-2.0198412054028836e-08
2546.0,24.470341820237188,1.512,0,4,2.543856,0.31,0,1,0.21389999999999992,-1.4210854715202004e-17,-1.6243065559782015,3.6759677852862604,0.9999998712978899,25.239766923617875,0.0,82.36515133541681,241.50778008936825,12,273.0188553417737,-1.486766731950695e-08,-1.75250780554137e-08
2660.0,28.23290901948684,1.643,0,4,2.633551,0.295,0,1,0.20797500000000002,-2.842170943040401e-17,-1.7050012974465811,4.296659686856299,0.999999870574543,26.345903818824624,0.0,92.74328457407948,238.81199243189022,13,272.0585376567615,-1.3722762481904738e-08,-1.4677449478028848e-08
2646.0,13.896583113980425,1.508,0,4,2.5879359999999996,0.323,0,1,0.21867099999999998,5.684341886080802e-17,-1.7028090946067078,3.352627707882349,0.9999998706697234,26.33493075197418,0.0,78.18249310284348,239.1642120861641,14,263.0331200776799,-1.2967833695753939e-08,-1.4157305772144468e-08
2726.0,16.036593243552062,1.602,0,4,2.6595959999999996,0.295,0,1,0.20797500000000002,4.263256414560601e-17,-1.5699264990033157,3.8242298293808523,0.9999998841958585,27.115670660808036,0.0,93.16361539365369,298.29421831673676,15,322.73787882933317,-1.0210229106633051e-08,-1.0244991965890904e-08
2932.0,32.05432024233866,1.656,0,4,2.715664000000001,0.291,0,1,0.20631899999999997,2.1316282072803006e-17,-1.5897431123093493,3.387158693661947,0.9999998904862574,29.031511117818958,0.0,90.89105251914359,333.5448701771006,16,370.3862982934418,-9.226557740049657e-09,-9.028761738250068e-09
2756.0,9.137715648705596,1.587,0,4,2.646431,0.318,0,1,0.21687599999999999,4.263256414560601e-17,-1.5715310451958975,3.4048481873510337,0.9999998856051142,27.477760559161656,0.0,87.00718228286256,305.6908935524124,17,319.7005006687432,-1.074459077265999e-08,-1.0170443820456398e-08
2808.0,25.796319777629847,1.598,0,4,2.6983960000000002,0.303,0,1,0.21119100000000002,0.0,-1.6930688441784327,3.327004142928699,0.999999878412288,27.84783312200134,0.0,82.57534521221896,270.5924944460978,18,283.15126283256467,-1.3720026226238247e-08,-1.2215338074383908e-08
2934.0,19.86041187837869,1.666,0,4,2.7204440000000005,0.288,0,1,0.20505599999999993,-5.684341886080802e-17,-1.4745686815756436,3.357714485550416,0.9999998914112493,29.1612562930946,2.0,91.00553630677693,339.25236246468165,19,357.71883057290904,-1.2668966098416945e-08,-1.0699728880680937e-08
2306.0,11.83796309987451,1.426,0,4,2.4265239999999992,0.341,0,1,0.22471899999999997,-4.263256414560601e-17,-1.771581876628476,3.731699914456806,0.999999845620265,22.95345833210114,0.0,71.29973474181001,167.85175466972404,20,173.2580678306896,-3.502275469635663e-08,-2.6592735569153092e-08
2580.0,12.226128964501289,1.509,0,4,2.577919,0.333,0,1,0.22211100000000006,-1.0658141036401503e-17,-1.6841620706791978,3.692890221059156,0.9999998577989458,25.68996483931949,2.0,77.6310432148785,197.83805265574864,21,198.06239492035482,-5.265539715360035e-08,-2.9580553784214203e-08
3310.0,17.80158098614909,1.842,0,4,2.875036,0.267,0,1,0.19571100000000002,9.237055564881302e-17,-1.753448671450762,3.335805491297734,0.9999998866626432,32.93978577112467,2.0,91.80719118302565,311.43904680100417,22,360.52163672233996,-4.627027982984089e-08,-3.140319049244056e-08
2714.0,18.113833098614634,1.56,0,4,2.6563999999999997,0.324,0,1,0.21902400000000005,-1.4210854715202004e-17,-1.2380743063135722,3.4804957838568082,0.9999998788878024,26.976975502112474,6.5271394859644065,84.4558449352612,272.7466528537599,23,272.84330242586225,-1.05154615681613e-07,-5.602690733574889e-08
2462.0,12.243707502965568,1.47,0,4,2.5311,0.336,0,1,0.22310400000000005,0.0,-1.2354058610321041,4.012899366297513,0.9999998584785063,24.509806632473314,7.044534420398313,81.22530139754411,199.7699743812134,24,204.04541512098177,-1.8635939161182336e-05,-1.4480498666813446e-07
2812.0,9.950834548852596,1.709,0,4,2.6923189999999995,0.267,0,1,0.19571100000000005,-1.4210854715202004e-17,-1.6243483599204411,3.5823442236993848,0.9999998842714406,28.030442489060334,0.0,89.98465927173476,299.31775031689773,25,341.6052461147473,-0.039983542878557765,-1.1692807369234615e-05
3016.0,28.56230835757919,1.741,0,4,2.7879190000000005,0.287,0,1,0.20463099999999998,1.4210854715202004e-17,-1.8933335088606362,3.1921993836745814,0.9999998715338656,29.902939224781797,1.62,83.91825454355339,291.6749790003259,26,337.85034031275364,-0.04325955165267814,-0.042127876852223745
3068.0,23.748970814473175,1.783,0,4,2.797911,0.263,0,1,0.19383100000000003,4.9737991503207014e-17,-1.772361157424349,3.2540629389811366,0.9999998583007328,30.466259262669748,8.018371309539948,80.16149001228942,236.6285956749959,27,270.77755669191424,-0.043422015615160126,-0.053098184900445045
3362.0,51.21049080491255,1.811,0,4,2.9092790000000006,0.274,0,1,0.19892400000000005,-4.9737991503207014e-17,-1.6346795390171305,3.232270575213014,0.9999998866947278,33.159105582755785,2.0,93.58020570563899,368.4849934379017,28,416.80678959361455,-0.024607847573739017,-0.0284260960379652
2902.0,10.360321692282433,1.621,0,4,2.747359,0.311,0,1,0.21427900000000005,-2.842170943040401e-17,-1.7318969827969053,3.3646527556860497,0.9999998785249572,28.926757104769464,1.8,87.80959472109912,313.73671020608253,29,337.4349449496403,-0.052973391591353725,-0.028039394741399715
2818.0,14.856122925167387,1.685,0,4,2.719775,0.276,0,1,0.19982399999999995,1.4210854715202004e-17,-1.612729149137595,3.3666567338839677,0.9999998678307158,28.046294893673497,6.429497896403763,83.61219951999426,278.08957903768584,30,307.77954839066,-0.07764683406511108,-0.06045550162774416
3048.0,23.658681832936637,1.7,0,4,2.798,0.285,0,1,0.20377499999999998,0.0,-1.819328142426596,3.1622943606313543,0.9999998666912947,30.267071863503574,7.955991922785747,84.1580578503972,283.660635349182,31,329.8846808454108,-0.10686929530101374,-0.07767103817781962
3230.0,24.199518659628772,1.755,0,4,2.8369750000000002,0.286,0,1,0.20420399999999989,4.9737991503207014e-17,-2.0203691212745167,2.9979396230256636,0.9999998938570613,32.08220433206335,0.0,94.56211372292185,437.66823407168926,32,481.60092622415345,-0.049564859161722374,-0.06920067091994575
2982.0,17.493476372218836,1.805,0,4,2.792975,0.24,0,1,0.1824,-1.4210854715202004e-17,-2.491680737613257,3.8865540901269697,0.9999998507197831,29.66255871265004,1.3122000000000003,87.29346538012553,222.5377522435686,33,246.40569237405023,-0.0984220825550739,-0.09781617650102348
3180.0,35.38811844668878,1.754,0,4,2.831484,0.275,0,1,0.199375,0.0,-1.638225772271712,2.9814676075234043,0.9999998800354283,31.481506933979805,8.515210552450512,87.0176339845498,351.42851245175757,34,387.2746416176182,-0.07324173407594836,-0.06219011148504938
3020.0,29.556486961487572,1.759,0,4,2.7929190000000004,0.272,0,1,0.19801599999999997,-1.4210854715202004e-17,-2.110145904523542,3.738502150625148,0.9999998756567097,29.93399161734662,0.0,96.07259261779397,319.77675800495047,35,360.46642356264147,-0.1145614048629855,-0.0801145351598187
2948.0,11.327880449398005,1.685,0,4,2.7597749999999994,0.277,0,1,0.20027099999999998,0.0,-2.128782830519206,3.166561391451105,0.9999998776295893,29.378049075955424,0.0,88.54615856855865,352.2823380552746,36,409.8394781685534,-0.13923506168074762,-0.10285932616364413
3186.0,27.369011360150708,1.774,0,4,2.844923999999999,0.263,0,1,0.19383100000000003,3.907985046680551e-17,-2.0529241594622287,3.1302915652658343,0.9999998754037858,31.613678897758646,1.8,90.59578439876601,345.18161570608237,37,388.0602428204549,-0.09747773953321448,-0.14495179590110685
3124.0,19.607181898048307,1.721,0,4,2.8331589999999998,0.285,0,1,0.20377499999999998,0.0,-2.312258133187778,3.359413446871395,0.9999998732361826,31.063535362917573,0.0,91.71907626114098,329.4921576033762,38,378.0473696131434,-0.1387235397336919,-0.10118089023147836
3218.0,14.864460396185672,1.79,0,4,2.8438999999999997,0.252,0,1,0.188496,7.105427357601002e-18,-2.028407012814901,3.0551413808513317,0.9999998869001693,32.04621985643434,0.0,93.28272396280417,394.052769040475,39,455.4703016026009,-0.14073416800508265,-0.11653149818950692
2764.0,14.680350668879123,1.584,0,4,2.6849439999999998,0.317,0,1,0.21651100000000004,7.105427357601002e-18,-1.947128681779857,4.198289824458621,0.9999998518863875,27.507876843980092,9.468247205213627,92.98249527696996,238.6694254348846,40,296.3606311095475,-0.23670986092768698,-0.22721570649763878
