_AvgRewardSum,_AvgDiscountedRewardSum,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
1356.0,9.780751767204196,0.993,0,4,1.554951,0.5,0,1,0.25,2.1316282072803005e-16,-2.4302533144056713,5.504512303296001,0.9999996459794953,13.471973234095163,0.0,44.001333096705956,30.776960611123744,1,165.30135978861713,-0.0017809745806702804,-0.002710544144369109
2608.0,12.708644216254937,1.414,0,4,2.4766040000000005,0.379,0,1,0.23535900000000004,2.2737367544323206e-16,-1.3760564156753057,3.9379731640237123,0.9999998856628738,25.96562220205371,1.8,95.13010831961294,309.70728349581464,2,772.2152735985799,-1.9648921627535287e-06,-0.00019345687769622977
2312.0,14.833233491690565,1.314,0,4,2.2754040000000004,0.377,0,1,0.23487100000000002,1.3500311979441903e-16,-1.491424615916402,4.64705234927636,0.9999998703770948,22.986500898574793,0.0,94.71378279557769,238.35172416983156,3,512.0844280998697,-3.539011250719426e-07,-2.517812394797758e-06
2748.0,34.66725877555327,1.593,0,4,2.6893510000000007,0.299,0,1,0.20959900000000004,0.0,-1.4628771701722092,3.501226242972115,0.9999998846160524,27.16799467102003,1.8,87.86506732811971,300.5775635275316,4,665.0996711255693,-9.585833971037516e-08,-2.8253506112463356e-07
2934.0,12.69734061148297,1.704,0,4,2.748384,0.268,0,1,0.196176,-5.684341886080802e-17,-1.5731321621224625,3.399190826247169,0.9999998923554275,29.225723934496664,0.0,92.3863082103856,345.2830892180157,5,723.7248406716028,-3.5365325112834967e-08,-8.137598839219606e-08
3088.0,15.302590953719571,1.808,0,4,2.8511360000000003,0.254,0,1,0.18948399999999999,-1.4210854715202004e-17,-1.6798361183027806,3.20910763553306,0.999999890698266,30.74227668141653,0.0,89.46547161075443,334.86808357400383,6,709.0335138447701,-1.9782256055478342e-08,-3.670951920220489e-08
3218.0,10.453544012028015,1.862,0,4,2.8409560000000003,0.248,0,1,0.18649599999999997,8.526512829121202e-17,-1.885095137938558,2.960985293725996,0.9999998825036598,32.08591810389176,0.0,82.48935869533693,289.77885251919423,7,655.4682040049694,-1.3354768180207088e-08,-2.2249386555373007e-08
3302.0,7.427926547297442,1.837,0,4,2.868431000000001,0.265,0,1,0.19477500000000003,-2.0250467969162856e-16,-1.5893334291188963,3.1848200764385854,0.9999998972981475,32.95314866107433,2.0,94.97551040278846,379.2623971199631,8,717.4893299038267,-6.660950235826135e-09,-1.025187579273279e-08
2668.0,23.305801370214667,1.661,0,4,2.6380790000000003,0.248,0,1,0.18649599999999994,-5.684341886080802e-17,-1.6277338147133826,3.9646396657270477,0.9999998770043498,26.470247787668075,0.0,90.93965156983441,264.4317786606274,9,375.4337066256649,-7.194468132354359e-09,-9.697915803741353e-09
2836.0,21.235291867316178,1.657,0,4,2.6893510000000007,0.287,0,1,0.20463099999999998,0.0,-1.462717836644376,3.7115450032664454,0.9999998882017647,28.168882373194158,2.0,94.56734418248686,320.0481558976327,10,446.3059815624761,-4.953171206523166e-09,-6.004294617056871e-09
