_AvgRewardSum,_AvgDiscountedRewardSum,_Timesteps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-658.6423,-37.08529913388108,1871,249.47140566541955,6,498,21620.0941850364,2.5253874933190805,0,5,2.974101600249783,-6.45602699514789e-17,-2.9552939646456733,5.2395683950515135,0.9999997966287659,-33.418786424438686,-62.49328930692087,18.096887588500977,96.59658569762136,10,940.6710355116824,-2.2099566621136546e-09,-3.698473152180526e-05
-687.3993,-29.055244638400143,3871,296.772,12,497,21926.484016000002,2.5205,0,5,2.88057975,-2.1316282072803006e-17,-2.8627054874557882,3.1336433515189963,0.9999998056402926,-33.06247841087535,-62.52029240574515,-0.8166725635528564,105.88809763650576,20,750.2737964303026,-2.846287650015711e-10,-2.787459152386873e-11
-638.6506,-30.788356650716413,5871,271.5,1,497,20329.862,2.376,0,5,2.909624,-2.486899575160351e-16,-2.626774722820659,3.2303912843834826,0.9999997826155316,-30.547054289183937,-54.71436927983751,-0.8281481266021729,84.643419285927,30,478.2292128782086,-9.00492991284807e-09,-1.6563665838909003e-07
-677.5636,-30.873727030153038,7871,253.002,2,494,22333.295996,2.4355,0,5,2.9648397499999994,1.4210854715202004e-16,-3.030457825784237,3.18830451443836,0.9999997985414559,-32.48886274963939,-62.57418639251627,-0.836798369884491,98.55788765497812,40,459.65890659907836,-1.4082683907901128e-09,-4.979439305330402e-09
-652.68677,-30.180187178526808,9871,253.956,1,494,20715.070064,2.3935,0,5,2.8936577500000005,-9.947598300641403e-17,-3.0105349781696256,3.043647682204291,0.9999997999877112,-31.276231318136706,-61.37974405086951,-0.8416313529014587,99.9875142351682,50,330.314213149004,-1.198214860664848e-10,-2.646955987728461e-10
-608.43317,-30.46093468424026,11871,264.95,4,498,19512.3815,2.323,0,5,2.912671,-5.684341886080802e-17,-3.2872506335063347,2.7490516272433756,0.9999998050859952,-29.050918182481976,-62.781189597454485,-0.8430773615837097,105.28676074679612,60,221.17906285278457,-1.0009104656205636e-11,-1.5380807738551994e-11
-632.7531,-30.83878771259993,13867,209.72144288577155,1,491,18938.838237597436,2.3872745490981964,0,5,2.7924031931598665,-1.9223100065654013e-16,-2.9832657684294155,4.658160802195553,0.999999807388062,-30.310534007476456,-61.28750880114968,18.057802200317383,107.81869138442384,70,210.50666955770626,-3.2972335972658584e-10,-4.589597590864969e-10
-559.185,-26.99487866267493,15867,272.584,3,498,21593.286944,2.263,0,5,2.7208309999999996,4.263256414560601e-17,-3.466517785674628,2.62477718174005,0.9999997973508737,-26.74448147029955,-60.95650435070304,-0.8398271799087524,97.40260643183923,80,122.49427641023591,-2.514632946315487e-11,-3.183719954336084e-11
-553.6654,-31.24330597607959,17867,275.65,2,496,20778.0975,2.1895,0,5,2.7405897500000003,6.394884621840901e-17,-3.5693349078125807,2.7294314408434297,0.9999997854286748,-26.277323668529693,-59.546776729426824,-0.8365518450737,86.87929500932991,90,99.56041774260693,-6.973288613210116e-11,-8.043476995567289e-11
-552.1154,-27.323367027410352,19867,255.998,1,497,20895.787996,2.2165,0,5,2.7206277500000002,3.552713678800501e-17,-2.873256881991296,2.865183455548127,0.9999997756616394,-26.37622016036652,-51.991643419575034,-0.8328547477722168,79.47925277881336,100,87.92772972108116,-9.384282240176844e-10,-1.0603422584409827e-09
-532.7916,-29.56419333144678,21851,256.01209677419354,1,493,21370.770014958376,2.2056451612903225,0,5,2.6875487773152966,-1.4325458382260084e-17,-3.329588796151941,4.493109335449689,0.9999997938189139,-25.513298003036965,-57.8110142959401,18.07080841064453,94.09410812727458,110,96.24636513915361,-8.535705475765099e-11,-9.097611552988383e-11
-528.07166,-28.835255576957206,23851,246.28,1,498,22567.2896,2.203,0,5,2.6387910000000003,-5.329070518200751e-17,-3.6417218039717025,2.8978600715483513,0.9999997613608146,-25.10599765358319,-55.6267576372519,-0.8173387050628662,70.23872145366526,120,70.80004518156461,-7.583764727314701e-10,-7.789997535923021e-10
-481.12564,-23.378660647122036,25742,241.5594923320994,1,499,23070.64413385121,2.1634056054997357,0,5,2.6369686239558865,-3.005997824474247e-17,-4.073701579671144,4.833073847750637,0.9999997720595704,-24.330240754017314,-60.07382111644822,18.076215744018555,76.98705190896013,130,77.00544967140128,-3.029476669524911e-10,-2.916809016539901e-10
-514.45544,-22.391800086314966,27742,279.604,2,497,20083.279184,2.159,0,5,2.626719,0.0,-4.572443397303236,2.458450423931039,0.9999997942072817,-24.71513931152454,-69.15251260700302,-0.8226434588432312,94.4496722765007,140,94.50372896341754,-3.0636160275321345e-11,-2.929700926301848e-11
-468.28253,-23.74299560987862,29742,286.636,1,497,20388.543504,2.1005,0,5,2.63639975,-2.842170943040401e-17,-3.2129181885924893,2.5036938749183704,0.9999997673481585,-22.34568901315157,-49.9656880084015,-0.8226192593574524,73.90072308244235,150,77.2555044000028,-1.489187884118337e-09,-9.746976559199538e-10
-458.74347,-29.562747199082573,31742,275.96,2,497,19984.322399999997,2.033,0,5,2.422911,1.1368683772161603e-16,-3.6886124400610525,2.6683151343633607,0.9999997432253719,-21.60684732025516,-50.337200264062865,-0.8235277533531189,60.66743537317771,160,64.12219479370548,-2.5587976182350758e-11,-1.772493263274555e-11
