_AvgRewardSum,_AvgDiscountedRewardSum,_Timesteps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-718.98663,-35.44478077223248,2000,232.6,1,489,17322.98,2.51,0,5,2.9069000000000007,4.9737991503207014e-17,-3.1343450222859905,3.2304734486689295,0.9999998071365133,-34.354317919970896,-66.85672457748522,-0.8533834218978882,107.53047780899597,10,1082.493281396301,-2.1189170757995868e-06,-3.5873651886841884e-06
-581.7996,-28.650253366326144,4000,272.946,1,488,18561.065084,2.4065,0,5,2.58525775,-2.380318164796336e-16,-2.898232176500526,2.5674916983052065,0.999999809549575,-27.800722378899394,-58.23822258685852,-0.8402628898620605,110.26715807148241,20,550.3934687172334,-6.883634040555364e-08,-1.9679860021604156e-06
-649.473,-37.22449028973151,6000,247.904,1,494,20453.858784000004,2.435,0,5,2.835775,9.947598300641403e-17,-4.14396237585628,2.980060669328647,0.9999998010993639,-30.798550027988394,-72.46752406688918,-0.8335376381874084,101.10934202568923,30,540.6244271121493,-1.6737758290474858e-08,-7.881873176351917e-08
-663.8418,-31.547566940945718,8000,291.684,1,498,20590.076144000002,2.536,0,5,2.8477040000000002,-1.1368683772161603e-16,-4.5407374971126115,2.5831754839059826,0.9999998330679021,-31.77244637322893,-86.17494045127022,-0.8239129185676575,143.54033762815956,40,501.91329285828783,-7.225020803858229e-09,-2.4181730395866907e-08
-555.567,-35.22209065410594,10000,268.976,1,494,16519.591424000002,2.466,0,5,2.418844,-2.842170943040401e-17,-2.9658719173199266,2.2168646924149105,0.9999998252809412,-26.193353601431955,-60.14355347389563,-0.8170380592346191,131.0329409506018,50,250.35336073549084,-4.788929253152219e-10,-9.478529072737274e-10
-577.6045,-31.737366713578734,11872,252.67307692307693,6,498,19122.628164036818,2.385149572649573,0,5,2.8511256186536635,0.0,-2.9260409643887426,4.1251152896045475,0.9999998259988859,-29.329106617106248,-62.96154178998663,18.085712432861328,132.11612456679566,60,276.74814752135666,-7.571721027943568e-14,-1.0902390101819037e-13
-430.53906,-24.189587447512444,13620,208.5017162471396,4,496,13036.515443278753,2.4948512585812357,0,5,2.001689737601391,4.877867751213502e-17,-2.7519331293325844,3.134442364719336,0.9999998488336745,-23.384921724647548,-59.794260272209044,18.08519744873047,175.04499202783677,70,196.70117069694183,-2.347011474057581e-13,-2.8821389719269064e-13
-377.283,-27.562547259174057,15210,265.7987421383648,2,496,14854.6513191725,2.4943396226415095,0,5,2.1166346267948257,3.575057789987925e-17,-2.9017463560355465,2.8032900896282427,0.999999860709616,-22.16834508889264,-63.83305820330965,18.082670211791992,206.16624853140894,80,213.5396238046824,-4.8911541483676046e-11,-5.4529936122094114e-11
-571.82385,-31.44967603891511,17159,251.47973319651103,8,498,19999.624653392133,2.500256541816316,0,5,2.4049511912411963,-1.020789974411637e-16,-2.9487378775450455,3.918544265769808,0.9999998294901549,-27.887075608141764,-62.47437921685005,18.07560920715332,137.58181126503558,90,192.2230799646021,-4.75175454539567e-14,-4.241051954068098e-14
-595.7629,-31.394995796556667,19159,282.878,4,498,19245.253115999996,2.5665,0,5,2.41757775,-2.842170943040401e-17,-3.2797639156308946,2.1223375874876758,0.9999998458371607,-28.375370467251155,-70.92473426477204,-0.8416537642478943,168.3063867706408,100,208.18642120542435,-4.960476474025199e-13,-6.0285110237146e-13
